DetectorID,Detector Name,Link I Node,Link J Node,Status
Not in use past 10 years,I-435 W @ PFLUMM RD,11659,11641,Currently not in use
7464,I-435 W @ QUIVIRA RD,11623,11657,Currently not in use
8270,I-435 W @ QUIVIRA RD,11653,11657,
Not in use past 10 years,I-435 W @ QUIVIRA RD,11653,11623,Currently not in use
7692,I-435 W @ RAMP FROM US-71 SB,14703,14704,
8238,I-435 W @ ROE AVE,11709,11759,
7590,I-435 W @ ROE AVE,11709,11759,
7303,I-435 W @ ROE AVE CD,2676,2672,
7779,I-435 W @ S OF BANNISTER RD,11185,11245,
7696,I-435 W @ SB US-71/BANNISTER CD,14707,14706,
7530,I-435 W @ STATE LINE RD,11625,14797,
7493,I-435 W @ STATE LINE RD,14797,11640,Currently not in use
7920,I-435 W @ STATE LINE RTWS,11625,14792,
7534,I-435 W @ WEST OF 104TH ST,14722,14723,
7532,I-435 W @ WEST OF HOLMES RD,11575,11559,
7805,I-435 W @ WEST OF METCALF,11706,11679,
7531,I-435 W @ WEST OF WORNALL,14790,11573,
7785,I-470 E @ I-470/US-71 SPLIT,14762,14765,
7782,I-470 E @ I-470/US-71 SPLIT FF,14770,14765,
7788,I-470 E @ I-470EB/I-435NB SPLIT,14692,14693,Currently not in use
7783,I-470 E @ US-71SB TO I-470EB FF,14695,14762,
7786,I-470 E @ W OF 71NB TO 470EB,14724,11703,
7791,I-470 W @ HILLCREST RD,14725,11719,
7790,I-470 W @ I-435NB/US-71 FF,11719,11715,
7694,I-470 W @ WEST OF I-435 MERGE,11549,11579,
8103,I-49 N @ 135th Street,12766,12651,
8102,I-49 N @ 140th Street,15241,12766,
8104,I-49 N @ Harry S Truman Drive,15233,15223,
7973,I-49 N @ I-470,14761,11662,
7964,I-49 N @ I-470,11626,11620,
8106,I-49 N @ Red Bridge Road,11878,11853,
7765,I-49 N @ SOUTH OF I-470,11853,11762,
7764,I-49 N @ US-71NB TO I-435WB FF,14728,14737,
7762,I-49 N @I-470/I-435 CD,11853,14749,Currently not in use
8114,I-49 S @ 135th Street,15238,15239,
8113,I-49 S @ 140th Street,15239,15242,
7771,I-49 S @ AT I-470EB R,14760,14740,
7770,I-49 S @ BEFORE I-470WB FF,14750,14756,
8115,I-49 S @ Harry S Truman Drive,15222,15232,
8116,I-49 S @ Hickman Mills Drive,15211,15214,
7971,I-49 S @ I-435 SB Freeway to Freeway,14718,14763,
7965,I-49 S @ I-470,14763,14739,
7972,I-49 S @ I-470/I-49 SPLIT,14763,14739,
7767,I-49 S @ I-470EB TO I-49SB FF,14744,14740,
7766,I-49 S @ I-470WB TO US-71SB FF,14747,14750,
8117,I-49 S @ Red Bridge Road,14750,14756,
8081,US-69 N @ 103rd Street,2516,5016,
8070,US-69 N @ 119TH STREET,12157,12095,
8066,US-69 N @ 135TH STREET,12458,12306,
8338,US-69 N @ 135TH STREET DIRECTIONAL RAMP,14061,12458,
8339,US-69 N @ 135TH STREET LOOP RAMP,14051,14066,
8088,US-69 N @ 87th Street,10798,2065,
8086,US-69 N @ 91st Street,10954,10953,
8084,US-69 N @ 95th Street,5176,5338,
8068,US-69 N @ BLUE VALLEY PARKWAY,12259,12194,
8090,US-69 N @ COLLEGE,11959,11913,
8072,US-69 N @ I-435,2520,2533,
8082,US-69 S @ 103rd Street,11509,2518,
8071,US-69 S @ 119TH STREET,5870,5981,
8067,US-69 S @ 135TH STREET,12365,14051,
8341,US-69 S @ 135TH STREET DIRECTIONAL RAMP,14051,14055,
8089,US-69 S @ 87th Street,10648,10797,
8087,US-69 S @ 91st Street,10949,10990,
8085,US-69 S @ 95th Street,11113,11159,
8069,US-69 S @ BLUE VALLEY PARKWAY,12222,12214,
8091,US-69 S @ COLLEGE,5738,5803,
8073,US-69 S @ I-435,2538,2557,
7966,US-71 N @ BEFORE BANNISTER ROAD,14702,14691,
7967,US-71 S @ AFTER BANNISTER ROAD,11175,11464,
