linkid	inode	jnode	flag	obflag	detectorid
213	11507	11396	0	-1	0
214	11008	11116	0	-1	0
215	11647	11613	0	-1	0
216	12227	12191	0	-1	0
217	11974	11946	0	-1	0
218	14047	12365	0	-1	0
219	14715	14711	0	-1	0
220	11320	11494	0	-1	0
221	12483	12454	0	-1	0
222	11091	11090	0	-1	0
223	11091	11092	0	-1	0
224	14727	14761	0	-1	0
225	12201	12254	0	-1	0
226	12219	12200	0	-1	0
227	12628	12635	0	-1	0
228	15226	12197	0	-1	0
229	5016	5101	0	-1	0
230	12426	12413	0	-1	0
231	14775	11520	0	-1	0
232	11290	11242	0	-1	0
233	15244	12916	0	-1	0
234	11582	11541	0	-1	0
235	5723	5738	0	-1	0
236	11930	11960	0	-1	0
237	12462	12477	0	-1	0
238	14791	14795	0	-1	0
239	11883	11859	0	-1	0
240	14783	11575	0	-1	0
241	12281	12349	0	-1	0
242	11111	11511	0	-1	0
243	12273	12253	0	-1	0
244	14695	14762	1	15	7783
245	12632	12647	0	-1	0
246	11263	11270	0	-1	0
247	12107	12109	0	-1	0
248	12107	12105	0	-1	0
249	11811	11810	0	-1	0
250	11811	11812	0	-1	0
251	12123	12176	0	-1	0
252	11505	11299	0	-1	0
253	14730	14724	0	-1	0
254	12346	12352	0	-1	0
255	5805	5811	0	-1	0
256	12417	12479	0	-1	0
257	2676	2672	1	16	7303
258	11892	14456	0	-1	0
259	11399	11416	0	-1	0
260	12613	12355	0	-1	0
261	11592	14722	0	-1	0
262	12629	12631	0	-1	0
263	11694	11497	0	-1	0
264	12099	12094	0	-1	0
265	14698	14699	0	-1	0
266	14781	14782	0	-1	0
267	12115	12217	0	-1	0
268	12647	12632	0	-1	0
269	11097	11096	0	-1	0
270	11097	11098	0	-1	0
271	15226	15228	0	-1	0
272	14109	14110	0	-1	0
273	12121	12119	0	-1	0
274	11790	11771	0	-1	0
275	14463	12503	0	-1	0
276	11173	11171	0	-1	0
277	11870	14290	0	-1	0
278	12475	12481	0	-1	0
279	11590	11660	0	-1	0
280	11647	11697	0	-1	0
281	11522	11523	0	-1	0
282	12110	12115	0	-1	0
283	12497	12609	0	-1	0
284	11493	4979	0	-1	0
285	11379	11509	0	-1	0
286	11493	11489	0	-1	0
287	11143	11205	0	-1	0
288	12299	12304	0	-1	0
289	12221	12098	0	-1	0
290	12635	12611	0	-1	0
291	14759	14752	0	-1	0
292	11969	11960	0	-1	0
293	12552	12596	0	-1	0
294	11740	11755	0	-1	0
295	12882	15241	0	-1	0
296	5803	5805	0	-1	0
297	12224	12237	0	-1	0
298	11838	11835	0	-1	0
299	11640	11690	1	17	8220
300	10952	11122	0	-1	0
301	11176	11181	0	-1	0
302	12066	12121	0	-1	0
303	12067	12108	0	-1	0
304	11326	11362	0	-1	0
305	14796	14793	1	18	7525
306	11810	11811	0	-1	0
307	12557	12563	0	-1	0
308	11810	11817	0	-1	0
309	12696	12698	0	-1	0
310	12696	12691	0	-1	0
311	12596	12552	0	-1	0
312	12458	12306	1	19	8066
313	12132	12121	0	-1	0
314	12393	12385	0	-1	0
315	11582	11589	0	-1	0
316	11699	11543	0	-1	0
317	11599	11603	0	-1	0
318	11936	11942	0	-1	0
319	12003	11981	0	-1	0
320	11160	11106	0	-1	0
321	12218	12149	0	-1	0
322	12635	12657	0	-1	0
323	11181	11226	0	-1	0
324	12102	12098	0	-1	0
